Country,Date,Confirmed,Deaths,Recovered,Active,New_Cases,New_Deaths,New_Recovered,MA_7_Cases,MA_14_Cases,MA_7_Deaths,MA_7_Recovered,Daily_Cases,Daily_Deaths,Daily_Recovered,Growth_Rate,CFR,Recovery_Rate,Active_Ratio,Doubling_Time,Case_Acceleration,Cases_Lag_1,Deaths_Lag_1,Cases_Lag_3,Deaths_Lag_3,Cases_Lag_7,Deaths_Lag_7,Cases_Lag_14,Deaths_Lag_14,Pandemic_Phase,Day_of_Year,Week_of_Year,Month,Days_Since_Start,Growth_Factor,Risk_Score,Risk_Label,Risk_Category,XGB_Risk_Label,XGB_Risk_Category,Risk_Prob_Low,Risk_Prob_Medium,Risk_Prob_High,Max_Risk_Prob
Afghanistan,2020-07-27,36263,1269,25198,9796,106,10,18,105.28571428571428,129.14285714285714,12.0,208.14285714285717,106.0,10.0,18.0,-12.396694214876035,3.499434685492099,69.48680473209608,27.013760582411823,999.0,-15.0,121.0,11.0,53.0,14.0,51.0,4.0,4.0,2.0,Growing,209,31,7,187,1.0,29,1,Medium,1,Medium,0.0060751643,0.99076265,0.00316218,0.99076265
Albania,2020-07-27,4880,144,2745,1991,117,6,63,101.28571428571428,93.5,4.428571428571429,56.142857142857146,117.0,6.0,63.0,-7.14285714285714,2.950819672131148,56.25,40.79918032786885,999.0,-9.0,126.0,4.0,104.0,5.0,81.0,1.0,117.0,2.0,Declining,209,31,7,187,1.0,29,1,Medium,1,Medium,0.004634455,0.9927228,0.0026426886,0.9927228
Algeria,2020-07-27,27973,1163,18837,7973,616,8,749,611.7142857142857,591.7142857142857,10.857142857142858,348.1428571428572,616.0,8.0,749.0,3.878583473861719,4.1575805240767885,67.33993493726092,28.50248453866228,18.2155181658764,23.0,593.0,9.0,675.0,12.0,607.0,9.0,494.0,7.0,Declining,209,31,7,187,1.0,42,2,High,2,High,0.0014311507,0.006762464,0.9918064,0.9918064
Andorra,2020-07-27,907,52,803,52,10,0,0,3.2857142857142856,3.5,0.0,0.0,10.0,0.0,0.0,0.0,5.733186328555679,88.53362734288865,5.733186328555679,999.0,10.0,0.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0,Growing,209,31,7,187,1.0,36,1,Medium,1,Medium,0.022854704,0.9617025,0.01544275,0.9617025
Angola,2020-07-27,950,41,242,667,18,1,0,28.714285714285715,30.357142857142858,1.7142857142857142,3.0,18.0,1.0,0.0,12.5,4.315789473684211,25.473684210526315,70.21052631578948,5.884949192361718,2.0,16.0,1.0,29.0,2.0,44.0,0.0,19.0,0.0,Growing,209,31,7,187,1.0,85,2,High,2,High,0.0006460605,0.005934122,0.9934198,0.9934198
Antigua and Barbuda,2020-07-27,86,3,65,18,4,0,5,1.4285714285714286,0.8571428571428571,0.0,1.1428571428571428,4.0,0.0,5.0,0.0,3.488372093023256,75.5813953488372,20.930232558139537,999.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Growing,209,31,7,187,1.0,29,1,Medium,1,Medium,0.02855218,0.9655498,0.005897994,0.9655498
Argentina,2020-07-27,167416,3059,72575,91782,4890,120,2057,5234.571428571428,4582.214285714285,98.0,2380.285714285714,4890.0,120.0,2057.0,16.65076335877862,1.827184976346347,43.35009795957376,54.822717064079896,4.500536160755796,698.0,4192.0,46.0,5493.0,105.0,4019.0,113.0,3099.0,58.0,Peak,209,31,7,187,1.0,75,2,High,2,High,0.0018384788,0.0041167503,0.99404484,0.99404484
Armenia,2020-07-27,37390,711,26665,10014,73,6,187,344.1428571428572,374.2142857142857,8.714285714285714,451.8571428571428,73.0,6.0,187.0,-77.25856697819314,1.901577962021931,71.31585985557636,26.78256218240171,999.0,-248.0,321.0,5.0,451.0,4.0,104.0,9.0,182.0,8.0,Low,209,31,7,187,1.0,19,0,Low,0,Low,0.9725653,0.025502225,0.0019324593,0.9725653
Australia,2020-07-27,15303,167,9311,5825,368,6,137,410.7142857142857,360.8571428571428,5.857142857142857,130.42857142857142,368.0,6.0,137.0,-30.827067669172937,1.0912892896817616,60.84427889956218,38.06443181075606,999.0,-164.0,532.0,6.0,355.0,6.0,359.0,3.0,271.0,0.0,Peak,209,31,7,187,1.0,19,0,Low,0,Low,0.98304075,0.015109047,0.0018501692,0.98304075
Austria,2020-07-27,20558,713,18246,1599,86,1,37,116.42857142857144,115.0,0.2857142857142857,83.85714285714286,86.0,1.0,37.0,-35.820895522388064,3.46823620974803,88.75376982196713,7.777993968284852,999.0,-48.0,134.0,0.0,115.0,0.0,88.0,0.0,51.0,0.0,Low,209,31,7,187,1.0,21,0,Low,0,Low,0.9747226,0.022830503,0.002446883,0.9747226
Azerbaijan,2020-07-27,30446,423,23242,6781,396,6,558,365.1428571428572,419.7142857142857,8.571428571428571,536.0,396.0,6.0,558.0,-5.035971223021585,1.389345069959929,76.33843526243184,22.272219667608223,999.0,-21.0,417.0,9.0,332.0,9.0,369.0,9.0,529.0,7.0,Peak,209,31,7,187,1.0,19,0,Low,0,Low,0.9944113,0.004669514,0.00091919646,0.9944113
Bahamas,2020-07-27,382,11,91,280,40,0,0,29.714285714285715,19.214285714285715,0.0,0.0,40.0,0.0,0.0,150.0,2.8795811518324608,23.82198952879581,73.29842931937172,0.75647079736603,24.0,16.0,0.0,42.0,0.0,21.0,0.0,2.0,0.0,Peak,209,31,7,187,1.0,85,2,High,2,High,0.00088553934,0.0063510225,0.99276346,0.99276346
Bahrain,2020-07-27,39482,141,36110,3231,351,1,421,363.7142857142857,429.0,1.8571428571428568,449.2857142857143,351.0,1.0,421.0,-8.59375,0.3571247657160225,91.45939921989768,8.183476014386303,999.0,-33.0,384.0,3.0,462.0,2.0,514.0,2.0,535.0,1.0,Growing,209,31,7,187,1.0,11,0,Low,0,Low,0.996167,0.0030125089,0.0008204219,0.996167
Bangladesh,2020-07-27,226225,2965,125683,97577,2772,37,1801,2681.714285714286,2809.3571428571427,42.42857142857143,1732.428571428571,2772.0,37.0,1801.0,21.846153846153847,1.310642059896121,55.5566360923859,43.13272184771798,3.5080246323997493,497.0,2275.0,54.0,2548.0,35.0,2928.0,50.0,3099.0,39.0,Peak,209,31,7,187,1.0,67,2,High,2,High,0.0028483993,0.0023848922,0.9947667,0.9947667
Barbados,2020-07-27,110,7,94,9,0,0,0,0.5714285714285714,0.5,0.0,0.4285714285714285,0.0,0.0,0.0,-100.0,6.363636363636363,85.45454545454545,8.181818181818182,999.0,-2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,Low,209,31,7,187,1.0,36,1,Medium,1,Medium,0.029982958,0.95387113,0.016145842,0.95387113
Belarus,2020-07-27,67251,538,60492,6221,119,4,67,148.28571428571428,152.64285714285714,5.0,314.57142857142856,119.0,4.0,67.0,-8.461538461538465,0.7999881042661077,89.94959182763081,9.250420068103075,999.0,-11.0,130.0,4.0,158.0,5.0,118.0,4.0,182.0,4.0,Growing,209,31,7,187,1.0,11,0,Low,0,Low,0.99483573,0.0043156464,0.0008486491,0.99483573
Belgium,2020-07-27,66428,9822,17452,39154,402,1,14,333.42857142857144,265.7857142857143,2.4285714285714284,18.714285714285715,402.0,1.0,14.0,34.448160535117054,14.785933642439936,26.272053953152287,58.94201240440778,2.3416460841515536,103.0,299.0,0.0,352.0,5.0,388.0,5.0,0.0,0.0,Growing,209,31,7,187,1.0,100,2,High,2,High,0.0005452887,0.0018538145,0.99760085,0.99760085
Belize,2020-07-27,48,2,26,20,0,0,0,1.1428571428571428,0.7857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,4.166666666666666,54.16666666666666,41.66666666666667,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Low,209,31,7,187,1.0,29,1,Medium,1,Medium,0.005994839,0.9877002,0.0063049765,0.9877002
Benin,2020-07-27,1770,35,1036,699,0,0,0,24.0,28.0,0.5714285714285714,36.285714285714285,0.0,0.0,0.0,-100.0,1.977401129943503,58.53107344632769,39.49152542372881,999.0,-76.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,209,31,7,187,1.0,19,0,Low,0,Low,0.96159977,0.033930905,0.004469283,0.96159977
Bhutan,2020-07-27,99,0,86,13,4,0,1,1.2857142857142858,1.0714285714285714,0.0,0.4285714285714285,4.0,0.0,1.0,33.33333333333333,0.0,86.86868686868688,13.131313131313131,2.409420839653209,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Growing,209,31,7,187,1.0,59,2,High,2,High,0.016056333,0.0064606722,0.97748303,0.97748303
